epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,253.009,0.94861,0.74447,1.22605,0.53107,0.5441,0.55244,0.34432,1.49526,1.29711,1.94759,0.000990365,0.000990365,0.000990365
43,258.625,1.01097,0.75531,1.2599,0.71263,0.71056,0.72762,0.4493,1.41529,0.97238,1.8309,0.000973861,0.000973861,0.000973861
44,264.736,1.00473,0.75081,1.23988,0.70094,0.78322,0.76228,0.43459,1.43217,0.98336,1.80643,0.000957358,0.000957358,0.000957358
45,270.468,0.99438,0.74775,1.22825,0.65955,0.62391,0.64885,0.39936,1.39889,0.98103,1.82007,0.000940855,0.000940855,0.000940855
46,276.684,0.95272,0.76367,1.2187,0.77378,0.84443,0.85762,0.50648,1.43072,0.90187,1.8416,0.000924352,0.000924352,0.000924352
47,282.242,1.00253,0.76695,1.27595,0.86397,0.81988,0.86849,0.54182,1.27061,0.83546,1.67884,0.000907848,0.000907848,0.000907848
48,288.629,0.96072,0.73343,1.24015,0.84395,0.7396,0.77845,0.4474,1.33563,0.93099,1.74696,0.000891345,0.000891345,0.000891345
49,294.256,0.93942,0.71529,1.19834,0.66152,0.83014,0.78839,0.49236,1.3302,1.03368,1.68483,0.000874842,0.000874842,0.000874842
50,300.705,0.89273,0.68202,1.1737,0.76071,0.86304,0.83144,0.50856,1.31998,0.85454,1.69798,0.000858338,0.000858338,0.000858338
51,306.429,0.90802,0.66041,1.20053,0.78222,0.84144,0.86841,0.53397,1.39631,0.78197,1.77649,0.000841835,0.000841835,0.000841835
52,312.665,0.87025,0.66297,1.1634,0.70984,0.74786,0.75323,0.47314,1.42286,1.07253,1.89871,0.000825332,0.000825332,0.000825332
53,318.449,0.92015,0.70867,1.21336,0.81706,0.82702,0.83895,0.51137,1.31981,0.82099,1.74781,0.000808828,0.000808828,0.000808828
54,324.682,0.88799,0.67865,1.16605,0.87291,0.81193,0.90347,0.52352,1.30615,0.84395,1.73893,0.000792325,0.000792325,0.000792325
55,330.62,0.89804,0.67107,1.17626,0.8957,0.81242,0.88004,0.54971,1.28426,0.81471,1.70631,0.000775822,0.000775822,0.000775822
56,336.627,0.84511,0.64965,1.15811,0.71731,0.84035,0.86099,0.55905,1.26218,0.83976,1.69084,0.000759318,0.000759318,0.000759318
57,342.606,0.87498,0.66659,1.16248,0.73562,0.81925,0.8082,0.51424,1.20822,0.80162,1.68558,0.000742815,0.000742815,0.000742815
58,348.354,0.81464,0.62912,1.14174,0.79774,0.81729,0.82202,0.5263,1.21989,0.86761,1.71896,0.000726312,0.000726312,0.000726312
59,354.472,0.8002,0.58593,1.12955,0.78108,0.73975,0.75655,0.51196,1.21751,0.91335,1.68266,0.000709809,0.000709809,0.000709809
60,360.097,0.84033,0.6327,1.15305,0.81133,0.71758,0.75776,0.49137,1.17431,0.89084,1.61212,0.000693305,0.000693305,0.000693305
61,366.226,0.78211,0.63052,1.11855,0.92154,0.71801,0.82937,0.54578,1.21787,0.85406,1.63728,0.000676802,0.000676802,0.000676802
62,371.977,0.80319,0.56115,1.11473,0.88752,0.76679,0.87711,0.57856,1.1903,0.75129,1.6074,0.000660299,0.000660299,0.000660299
63,378.1,0.81695,0.57869,1.12932,0.69273,0.72516,0.73922,0.46583,1.37699,0.93936,1.83005,0.000643795,0.000643795,0.000643795
64,383.985,0.78797,0.58865,1.1131,0.7313,0.75069,0.75832,0.49004,1.24532,0.9502,1.72471,0.000627292,0.000627292,0.000627292
65,390.294,0.80908,0.582,1.14837,0.84176,0.88034,0.89473,0.59845,1.19173,0.71983,1.61329,0.000610789,0.000610789,0.000610789
66,395.987,0.81336,0.58299,1.1465,0.88167,0.82547,0.91844,0.60992,1.18341,0.75812,1.56761,0.000594286,0.000594286,0.000594286
67,402.139,0.73671,0.5269,1.09028,0.91183,0.83165,0.92195,0.59972,1.17856,0.76063,1.54861,0.000577782,0.000577782,0.000577782
68,407.949,0.75536,0.54399,1.08344,0.88205,0.90652,0.93671,0.5696,1.23495,0.71702,1.58792,0.000561279,0.000561279,0.000561279
69,414.368,0.74054,0.52619,1.1124,0.85709,0.90754,0.93205,0.60326,1.14265,0.68354,1.56516,0.000544776,0.000544776,0.000544776
70,420.117,0.74886,0.56751,1.09208,0.89133,0.84845,0.91371,0.54037,1.24665,0.71017,1.60335,0.000528272,0.000528272,0.000528272
71,426.432,0.79729,0.57758,1.13954,0.86166,0.79722,0.92392,0.61355,1.15957,0.72721,1.52756,0.000511769,0.000511769,0.000511769
72,432.227,0.71801,0.52835,1.08665,0.87892,0.84161,0.92201,0.65236,1.13117,0.73558,1.51036,0.000495266,0.000495266,0.000495266
73,438.521,0.7626,0.52928,1.11733,0.90706,0.81233,0.9095,0.58331,1.22991,0.8219,1.59549,0.000478762,0.000478762,0.000478762
74,444.417,0.75118,0.53039,1.11228,0.86479,0.82671,0.88358,0.58703,1.17594,0.7877,1.59143,0.000462259,0.000462259,0.000462259
75,450.42,0.7144,0.52963,1.0629,0.84625,0.84898,0.89045,0.58253,1.21842,0.73113,1.6635,0.000445756,0.000445756,0.000445756
76,456.236,0.70824,0.51707,1.07082,0.85258,0.81925,0.87687,0.59589,1.18068,0.74937,1.5843,0.000429253,0.000429253,0.000429253
77,462.044,0.72365,0.53056,1.06651,0.83567,0.89161,0.87247,0.59701,1.17576,0.74494,1.57287,0.000412749,0.000412749,0.000412749
78,468.202,0.72837,0.55261,1.0703,0.83551,0.86273,0.89407,0.5824,1.16271,0.73488,1.53859,0.000396246,0.000396246,0.000396246
79,474.035,0.71739,0.50106,1.07075,0.87179,0.86273,0.91776,0.61508,1.16518,0.74257,1.56314,0.000379743,0.000379743,0.000379743
80,480.19,0.66319,0.49579,1.06443,0.86222,0.89565,0.9305,0.62354,1.13972,0.70217,1.57197,0.000363239,0.000363239,0.000363239
81,485.902,0.65771,0.47676,1.06225,0.89655,0.9342,0.95115,0.638,1.16061,0.64148,1.58951,0.000346736,0.000346736,0.000346736
82,492.037,0.6584,0.45448,1.04283,0.88037,0.89176,0.94059,0.62826,1.18462,0.61229,1.60971,0.000330233,0.000330233,0.000330233
83,497.669,0.68203,0.48075,1.04773,0.88433,0.91366,0.94278,0.66534,1.14494,0.60933,1.54283,0.000313729,0.000313729,0.000313729
84,503.884,0.66938,0.4582,1.04621,0.93605,0.81643,0.92016,0.64591,1.10781,0.62331,1.51605,0.000297226,0.000297226,0.000297226
85,509.573,0.64313,0.46969,1.0455,0.86383,0.8752,0.90478,0.61738,1.10534,0.6352,1.53898,0.000280723,0.000280723,0.000280723
86,515.888,0.6905,0.50711,1.08643,0.86717,0.84904,0.91686,0.62375,1.1807,0.67128,1.58209,0.00026422,0.00026422,0.00026422
87,521.63,0.66905,0.47431,1.06878,0.9225,0.86272,0.9312,0.62048,1.20886,0.66421,1.61842,0.000247716,0.000247716,0.000247716
88,528.004,0.61535,0.43634,1.02741,0.91219,0.83385,0.93668,0.642,1.17522,0.61109,1.60938,0.000231213,0.000231213,0.000231213
89,533.793,0.63206,0.4456,1.04732,0.92762,0.86614,0.94164,0.64305,1.16604,0.59525,1.60611,0.00021471,0.00021471,0.00021471
90,540.179,0.61356,0.43022,1.02945,0.88249,0.93602,0.94457,0.66065,1.15432,0.57791,1.58976,0.000198206,0.000198206,0.000198206
91,548.207,0.51719,0.43178,0.97566,0.87528,0.95683,0.93502,0.65802,1.13927,0.58392,1.57698,0.000181703,0.000181703,0.000181703
92,554.828,0.52364,0.36676,0.9793,0.92088,0.94969,0.95278,0.63813,1.19098,0.59333,1.62433,0.0001652,0.0001652,0.0001652
93,560.486,0.49283,0.33499,0.96264,0.92967,0.92795,0.95389,0.65448,1.14759,0.56833,1.55947,0.000148696,0.000148696,0.000148696
94,566.783,0.46116,0.31678,0.95952,0.93017,0.92795,0.95894,0.66972,1.13566,0.57912,1.54679,0.000132193,0.000132193,0.000132193
95,572.525,0.45234,0.30693,0.95741,0.92943,0.92628,0.95558,0.67344,1.14096,0.5705,1.55193,0.00011569,0.00011569,0.00011569
96,579.161,0.45179,0.29923,0.93228,0.91038,0.88447,0.91892,0.65628,1.14833,0.57157,1.57052,9.91865e-05,9.91865e-05,9.91865e-05
97,584.889,0.43482,0.28418,0.91292,0.93592,0.92359,0.95274,0.66076,1.13505,0.54488,1.56783,8.26832e-05,8.26832e-05,8.26832e-05
98,591.316,0.43192,0.28427,0.92513,0.93646,0.91748,0.95067,0.66747,1.12016,0.53184,1.55604,6.61799e-05,6.61799e-05,6.61799e-05
99,597.03,0.41216,0.28655,0.91446,0.9122,0.92681,0.95614,0.67444,1.11733,0.52093,1.55759,4.96766e-05,4.96766e-05,4.96766e-05
100,603.319,0.40772,0.27483,0.89487,0.8988,0.95069,0.96178,0.66925,1.11642,0.52677,1.55391,3.31733e-05,3.31733e-05,3.31733e-05
